category_code,country_code,state_code,age,success,number_degrees
web,other,other,1066.0,0,
games_video,USA,other,246.0,0,
search,USA,other,123.0,0,
real_estate,other,other,1.0,0,
software,USA,California,1097.0,0,
mobile,USA,California,1.0,0,
web,USA,other,1168.0,0,
public_relations,other,other,14.0,0,
public_relations,other,other,1267.0,0,
software,USA,California,93.0,0,
search,other,other,611.0,0,
enterprise,USA,other,1.0,0,
software,USA,other,1219.0,0,
software,USA,other,1.0,0,
software,other,other,896.0,1,
games_video,USA,California,1.0,0,
games_video,USA,California,32.0,0,
mobile,USA,other,1158.0,0,10.0
medical,other,other,731.0,0,
software,USA,other,201.0,0,
advertising,USA,other,1.0,0,
mobile,USA,other,366.0,0,
security,other,other,1097.0,0,
health,USA,other,62.0,0,
web,other,other,731.0,0,
real_estate,USA,other,73.0,0,
analytics,other,other,700.0,0,
advertising,other,other,242.0,0,
finance,other,other,1.0,0,
web,USA,California,1.0,0,
health,USA,other,32.0,0,
enterprise,USA,other,1.0,0,
medical,USA,California,731.0,0,
mobile,USA,other,794.0,1,
mobile,other,other,848.0,0,
advertising,USA,other,366.0,0,
mobile,USA,other,731.0,0,
hardware,other,other,366.0,0,
web,USA,California,927.0,1,
analytics,USA,other,1189.0,0,
enterprise,USA,California,1.0,0,
games_video,other,other,1037.0,0,
mobile,USA,California,1.0,0,
hardware,USA,California,1097.0,0,
web,other,other,366.0,0,
software,other,other,427.0,0,
network_hosting,USA,other,731.0,0,
ecommerce,other,other,1.0,0,
analytics,USA,other,731.0,0,
ecommerce,other,other,84.0,0,
cleantech,USA,other,1.0,0,14.0
cleantech,USA,other,731.0,0,
fashion,USA,other,1097.0,0,
games_video,USA,California,1.0,0,
search,other,other,454.0,1,
transportation,other,other,103.0,0,
enterprise,other,other,1.0,0,
finance,other,other,1.0,0,
cleantech,USA,other,1097.0,0,
web,other,other,1.0,0,
other,other,other,397.0,0,
enterprise,USA,other,1.0,0,
mobile,NZL,other,731.0,0,
sports,other,other,1.0,0,
enterprise,other,other,1.0,0,
mobile,other,other,366.0,0,
hospitality,other,other,154.0,0,
analytics,other,other,1.0,0,
enterprise,USA,other,853.0,0,
mobile,USA,other,976.0,0,
sports,USA,other,236.0,0,
software,USA,California,731.0,0,
mobile,USA,other,366.0,0,
hardware,other,other,140.0,0,
photo_video,other,other,1097.0,0,
enterprise,USA,other,1097.0,0,
web,other,other,366.0,0,
web,other,other,307.0,0,
fashion,USA,other,731.0,0,
mobile,other,other,1217.0,0,
software,USA,other,276.0,0,
software,USA,California,397.0,0,
web,other,other,1336.0,0,
legal,other,other,731.0,0,
web,USA,other,1.0,0,
real_estate,USA,other,1.0,0,
advertising,USA,other,1342.0,0,
fashion,USA,California,1.0,0,
software,USA,California,731.0,0,
software,USA,California,611.0,0,
ecommerce,USA,other,1.0,0,
hardware,USA,other,276.0,0,
mobile,USA,other,1.0,0,
biotech,USA,other,1.0,0,
education,USA,other,366.0,0,
education,USA,other,1.0,0,
web,USA,other,1.0,0,
web,USA,other,1097.0,0,
web,USA,other,1097.0,0,
hospitality,USA,California,93.0,0,
hospitality,other,other,1.0,0,
search,USA,other,0.0,0,
mobile,other,other,26.0,0,
analytics,USA,other,93.0,0,
biotech,USA,California,1.0,0,10.0
ecommerce,other,other,1.0,0,
enterprise,other,other,1.0,0,
advertising,USA,other,1.0,0,
software,other,other,174.0,0,
software,other,other,233.0,0,
software,other,other,1283.0,0,
ecommerce,USA,other,32.0,0,
enterprise,other,other,366.0,0,
software,USA,other,895.0,1,10.0
advertising,other,other,215.0,0,
mobile,other,other,853.0,0,
web,USA,other,731.0,0,
software,USA,other,1.0,0,
web,USA,other,366.0,0,
biotech,USA,other,1.0,0,
web,other,other,731.0,0,
analytics,other,other,366.0,0,
games_video,other,other,246.0,0,
games_video,other,other,1.0,0,
web,other,other,1431.0,0,
enterprise,USA,California,1.0,0,12.0
hardware,USA,other,976.0,0,
health,USA,other,366.0,0,
enterprise,USA,California,91.0,0,
hardware,USA,other,1097.0,0,
web,USA,other,645.0,1,15.0
medical,other,other,48.0,0,
photo_video,USA,other,366.0,0,
health,USA,other,1097.0,0,
games_video,other,other,1403.0,0,
web,other,other,366.0,0,
security,other,other,1431.0,0,
mobile,other,other,366.0,0,
hardware,other,other,366.0,0,
